Name,Album,Song,TrackNo,String6,String5,String4,String3,String2,String1
Lee,Daydream Nation,The Sprawl,3,G2,G2,D3,D3,G3,G3
Lee,Daydream Nation,Cross the Breeze,4,E2,E2,E3,E3,F#3,F#3
Lee,Daydream Nation,Eric's Trip,5,E2,B3,E3,E3,A4,B4
Lee,Daydream Nation,Total Trash,6,G2,G2,D3,D3,G3,G3
Lee,Daydream Nation,Hey Joni,7,E2,B3,E3,E3,A4,B4
Lee,Daydream Nation,Providence,8,,,,,,
Lee,Daydream Nation,Candle,9,A3,A3,E3,E3,A4,A4
Lee,Daydream Nation,Rain King,10,E2,B3,E3,E3,A4,B4
Lee,Daydream Nation,Kissability,11,E2,B3,E3,E3,A4,B4
Lee,Daydream Nation,Trilogy,12,G2,G2,D3,D3,G3,G3
Thurston,Goo,Dirty Boots,1,E2,G2,D3,G3,E3,D4
Thurston,Goo,Tunic (Song for Karen),2,E2,G2,D3,G3,E3,D4
Thurston,Goo,Mary Christ,3,F#2,F#2,F#3,F#3,E3,B4
Thurston,Goo,Kool Thing,4,F#2,F#2,F#3,F#3,E3,B4
Thurston,Goo,Mote,5,G2,G2,D3,D3,D#3,D#3
Thurston,Goo,My Friend Goo,6,,,,,,
Thurston,Goo,Disappearer,7,C3,C3,E3,B4,G3,D4
Thurston,Goo,Mildred Pierce,8,E2,A3,D3,G3,B4,E4
Thurston,Goo,Cinderella's Big Score,9,A3,C3,C3,G3,G#3,C4
Thurston,Goo,Scooter + Jinx,10,,,,,,
Thurston,Goo,Titanium Expose,11,E2,G2,D3,G3,E3,D4
Lee,Goo,Dirty Boots,1,E2,E2,B3,B3,E3,F#3
Lee,Goo,Tunic (Song for Karen),2,G2,G2,D3,D3,G3,G3
Lee,Goo,Mary Christ,3,F2,F2,C3,C3,A4,A4
Lee,Goo,Kool Thing,4,F#2,F#2,F#3,F#3,E3,B4
Lee,Goo,Mote,5,G2,G2,D3,D3,F3,F3
Lee,Goo,My Friend Goo,6,E2,G2,D3,G3,E3,D4
Lee,Goo,Disappearer,7,,,,,,
Lee,Goo,Mildred Pierce,8,E2,A3,D3,G3,B4,E4
Lee,Goo,Cinderella's Big Score,9,B3,B3,E3,E3,A4,A4
Lee,Goo,Scooter + Jinx,10,,,,,,
Lee,Goo,Titanium Expose,11,G2,G2,D3,D3,G3,G3
Kim,Goo,Dirty Boots,1,,,,,,
Kim,Goo,Tunic (Song for Karen),2,,,,,,
Kim,Goo,Mary Christ,3,,,,,,
Kim,Goo,Kool Thing,4,,,,,,
Kim,Goo,Mote,5,,,,,,
Kim,Goo,My Friend Goo,6,E2,G2,D3,G3,E3,D4
Kim,Goo,Disappearer,7,,,,,,
Kim,Goo,Mildred Pierce,8,,,,,,
Kim,Goo,Cinderella's Big Score,9,,,,,,
Kim,Goo,Scooter + Jinx,10,,,,,,
Kim,Goo,Titanium Expose,11,,,,,,
Thurston,Dirty,100%,1,F#2,F#2,F#3,F#3,E3,B4
Thurston,Dirty,Swimsuit Issue,2,E2,G2,D3,G3,E3,D4
Thurston,Dirty,Theresa's Sound-World,3,A3,C3,C3,G3,G#3,C4
Thurston,Dirty,Drunken Butterfly,4,F#2,F#2,G3,G3,A4,A4
Thurston,Dirty,Shoot,5,F#2,F#2,F#3,F#3,E3,B4
Thurston,Dirty,Wish Fulfillment,6,E2,G2,D3,G3,E3,D4
Thurston,Dirty,Sugar Kane,7,G2,A3,B3,D3,E3,G3
Thurston,Dirty,"Orange Rolls, Angel's Spit",8,G2,G2,D3,D3,D#3,D#3
