Name,Album,Song,TrackNo,String6,String5,String4,String3,String2,String1
Lee,Sonic Nurse,I Love You Golden Blue,9,C2,G2,D3,C3,G3,D4
Lee,Sonic Nurse,Peace Attack,10,E2,E2,B3,E3,B4,B4
Kim,Sonic Nurse,Pattern Recognition,1,G2,G2,D3,D3,D#3,D#3
Kim,Sonic Nurse,Unmade Bed,2,,,,,,
Kim,Sonic Nurse,Dripping Dream,3,,,,,,
Kim,Sonic Nurse,Kim Gordon and the Arthur Doyle Hand Cream,4,E2,B3,E3,G3,G3,B4
Kim,Sonic Nurse,Stones,5,,,,,,
Kim,Sonic Nurse,Dude Ranch Nurse,6,G2,G2,D3,D3,D#3,D#3
Kim,Sonic Nurse,New Hampshire,7,D2,A3,D3,A4,B4,B4
Kim,Sonic Nurse,Paper Cut Exit,8,,,,,,
Kim,Sonic Nurse,I Love You Golden Blue,9,,,,,,
Kim,Sonic Nurse,Peace Attack,10,,,,,,
Jim,Sonic Nurse,Pattern Recognition,1,,,,,,
Jim,Sonic Nurse,Unmade Bed,2,G2,G2,D3,E3,G3,B4
Jim,Sonic Nurse,Dripping Dream,3,G2,G2,D3,D3,D#3,D#3
Jim,Sonic Nurse,Kim Gordon and the Arthur Doyle Hand Cream,4,,,,,,
Jim,Sonic Nurse,Stones,5,G2,G2,D3,D3,D#3,D#3
Jim,Sonic Nurse,Dude Ranch Nurse,6,,,,,,
Jim,Sonic Nurse,New Hampshire,7,,,,,,
Jim,Sonic Nurse,Paper Cut Exit,8,G2,G2,D3,E3,G3,B4
Jim,Sonic Nurse,I Love You Golden Blue,9,G2,G2,D3,E3,G3,B4
Jim,Sonic Nurse,Peace Attack,10,G2,G2,D3,E3,G3,B4
Thurston,Rather Ripped,Reena,1,C2,G2,D3,G3,C3,D4
Thurston,Rather Ripped,Incinerate,2,D2,D#2,A#3,D#3,G3,G3
Thurston,Rather Ripped,Do You Believe in Rapture?,3,D2,D#2,A#3,D#3,G3,G3
Thurston,Rather Ripped,Sleepin Around,4,D2,D#2,A#3,D#3,G3,G3
Thurston,Rather Ripped,What a Waste,5,C2,G2,D3,G3,C3,D4
Thurston,Rather Ripped,Jams Run Free,6,D2,D#2,A#3,D#3,G3,G3
Thurston,Rather Ripped,Rats,7,,,,,,
Thurston,Rather Ripped,Turquoise Boy,8,C2,G2,D3,G3,C3,D4
Thurston,Rather Ripped,Lights Out,9,C2,G2,D3,G3,C3,D4
Thurston,Rather Ripped,The Neutral,10,C2,G2,D3,G3,C3,D4
Thurston,Rather Ripped,Pink Steam,11,D2,D#2,A#3,D#3,G3,G3
Thurston,Rather Ripped,Or,12,D2,D#2,A#3,D#3,G3,G3
Lee,Rather Ripped,Reena,1,C2,G2,D3,C3,G3,D4
Lee,Rather Ripped,Incinerate,2,D#2,D#2,A#3,D#3,G3,G3
Lee,Rather Ripped,Do You Believe in Rapture?,3,D#2,D#2,A#3,D#3,G3,G3
Lee,Rather Ripped,Sleepin Around,4,D2,D#2,A#3,D#3,G3,C3
Lee,Rather Ripped,What a Waste,5,C2,G2,D3,C3,G3,D4
Lee,Rather Ripped,Jams Run Free,6,D#2,A#3,D#3,B3,C#3,F#3
Lee,Rather Ripped,Rats,7,D#2,A#3,D#3,B3,C#3,F#3
Lee,Rather Ripped,Turquoise Boy,8,G2,G2,D3,G3,G3,A4
Lee,Rather Ripped,Lights Out,9,C2,G2,D3,C3,G3,D4
Lee,Rather Ripped,The Neutral,10,C2,G2,D3,C3,G3,D4
Lee,Rather Ripped,Pink Steam,11,D#2,D#2,A#3,D#3,G3,G3
Lee,Rather Ripped,Or,12,D#2,D#2,A#3,D#3,G3,G3
Kim,Rather Ripped,Reena,1,,,,,,
Kim,Rather Ripped,Incinerate,2,,,,,,
Kim,Rather Ripped,Do You Believe in Rapture?,3,,,,,,
Kim,Rather Ripped,Sleepin Around,4,,,,,,
Kim,Rather Ripped,What a Waste,5,,,,,,
Kim,Rather Ripped,Jams Run Free,6,,,,,,
Kim,Rather Ripped,Rats,7,D2,A3,D3,A4,B4,B4
Kim,Rather Ripped,Turquoise Boy,8,,,,,,
Kim,Rather Ripped,Lights Out,9,,,,,,
Kim,Rather Ripped,The Neutral,10,,,,,,
Kim,Rather Ripped,Pink Steam,11,,,,,,
Kim,Rather Ripped,Or,12,,,,,,
Thurston,The Eternal,Sacred Trickster,1,D2,D2,A3,F#3,A4,D4
Thurston,The Eternal,Anti-Orgasm,2,D2,D2,A3,F#3,A4,D4
Thurston,The Eternal,Leaky Lifeboat (For Gregory Corso),3,D2,D2,A3,F#3,A4,D4
Thurston,The Eternal,Antenna,4,D2,D2,A3,F#3,A4,D4
Thurston,The Eternal,What We Know,5,C2,G2,D3,G3,C3,D4
Thurston,The Eternal,Calming the Snake,6,D2,D2,A3,F#3,A4,D4
Thurston,The Eternal,Poison Arrow,7,D2,D2,A3,F#3,A4,D4
Thurston,The Eternal,Malibu Gas Station,8,C2,G2,D3,G3,C3,D4
Thurston,The Eternal,Thunderclap for Bobby Pyn,9,C2,G2,D3,G3,C3,D4
Thurston,The Eternal,No Way,10,D2,D2,A3,F#3,A4,D4
Thurston,The Eternal,Walkin Blue,11,D2,D2,A3,F#3,A4,D4
Thurston,The Eternal,Massage the History,12,D2,D2,A3,F#3,A4,D4
Lee,The Eternal,Sacred Trickster,1,D2,D2,D3,D3,A4,A4
Lee,The Eternal,Anti-Orgasm,2,C2,G2,D3,C3,G3,D4
Lee,The Eternal,Leaky Lifeboat (For Gregory Corso),3,D2,D2,D3,D3,A4,A4
Lee,The Eternal,Antenna,4,D2,D2,D3,D3,A4,A4
Lee,The Eternal,What We Know,5,C2,G2,D3,C3,G3,D4
Lee,The Eternal,Calming the Snake,6,D2,D2,D3,D3,A4,A4
Lee,The Eternal,Poison Arrow,7,D2,D2,D3,D3,A4,A4
Lee,The Eternal,Malibu Gas Station,8,G2,G2,D3,G3,G3,A4
Lee,The Eternal,Thunderclap for Bobby Pyn,9,C2,G2,D3,C3,G3,D4
Lee,The Eternal,No Way,10,D2,D2,D3,D3,A4,A4
Lee,The Eternal,Walkin Blue,11,D2,D2,D3,D3,A4,A4
Lee,The Eternal,Massage the History,12,D2,D2,D3,D3,A4,A4
Kim,The Eternal,Sacred Trickster,1,,,,,,
Kim,The Eternal,Anti-Orgasm,2,D2,D2,A3,F#3,A4,D4
Kim,The Eternal,Leaky Lifeboat (For Gregory Corso),3,D2,A3,D3,A4,B4,D4
Kim,The Eternal,Antenna,4,D2,A3,D3,A4,B4,D4
Kim,The Eternal,What We Know,5,C2,G2,D3,A4,C4,D4
Kim,The Eternal,Calming the Snake,6,D2,D2,A3,F#3,A4,D4
Kim,The Eternal,Poison Arrow,7,D2,D2,A3,F#3,A4,D4
Kim,The Eternal,Malibu Gas Station,8,C2,D2,G2,A4,D4,G4
Kim,The Eternal,Thunderclap for Bobby Pyn,9,C2,G2,D3,A4,C4,D4
Kim,The Eternal,No Way,10,D2,D2,A3,F#3,A4,D4
Kim,The Eternal,Walkin Blue,11,D2,D2,A3,F#3,A4,D4
Kim,The Eternal,Massage the History,12,D2,A3,D3,A4,B4,D4
